player_id,matches_won,matches_lost,grand_slam_matches_won,grand_slam_matches_lost,tour_finals_matches_won,tour_finals_matches_lost,alt_finals_matches_won,alt_finals_matches_lost,masters_matches_won,masters_matches_lost,olympics_matches_won,olympics_matches_lost,atp500_matches_won,atp500_matches_lost,atp250_matches_won,atp250_matches_lost,best_of_3_matches_won,best_of_3_matches_lost,best_of_5_matches_won,best_of_5_matches_lost,hard_matches_won,hard_matches_lost,clay_matches_won,clay_matches_lost,grass_matches_won,grass_matches_lost,carpet_matches_won,carpet_matches_lost,outdoor_matches_won,outdoor_matches_lost,indoor_matches_won,indoor_matches_lost,deciding_sets_won,deciding_sets_lost,fifth_sets_won,fifth_sets_lost,finals_won,finals_lost
11,59.0,130.0,11.0,14.0,,,,,2.0,18.0,,,4.0,24.0,42.0,70.0,38.0,98.0,20.0,26.0,18.0,38.0,9.0,36.0,21.0,22.0,11.0,34.0,40.0,86.0,19.0,44.0,12.0,34.0,2.0,3.0,0.0,1.0
575,20.0,39.0,6.0,9.0,,,,,0.0,3.0,,,0.0,2.0,14.0,25.0,14.0,30.0,6.0,9.0,3.0,12.0,4.0,7.0,7.0,13.0,6.0,7.0,14.0,32.0,6.0,7.0,4.0,11.0,1.0,3.0,,
401,22.0,34.0,0.0,2.0,,,,,1.0,1.0,,,0.0,1.0,2.0,15.0,6.0,20.0,16.0,14.0,8.0,9.0,7.0,13.0,2.0,2.0,2.0,7.0,20.0,24.0,2.0,10.0,0.0,11.0,0.0,4.0,,
659,1.0,11.0,,,,,,,,,,,,,1.0,11.0,1.0,11.0,,,0.0,3.0,1.0,6.0,,,0.0,2.0,1.0,7.0,0.0,4.0,1.0,3.0,,,,
676,481.0,212.0,85.0,35.0,1.0,6.0,2.0,4.0,126.0,54.0,,,68.0,30.0,173.0,63.0,351.0,149.0,130.0,63.0,161.0,63.0,214.0,75.0,15.0,18.0,91.0,56.0,337.0,140.0,144.0,72.0,143.0,77.0,30.0,20.0,23.0,13.0
153,3.0,9.0,2.0,3.0,,,,,,,,,,,1.0,6.0,1.0,6.0,2.0,3.0,0.0,3.0,0.0,4.0,3.0,2.0,,,3.0,8.0,0.0,1.0,1.0,4.0,1.0,0.0,,
507,0.0,2.0,,,,,,,0.0,1.0,,,0.0,1.0,,,0.0,2.0,,,0.0,1.0,,,,,0.0,1.0,0.0,1.0,0.0,1.0,,,,,,
279,101.0,157.0,5.0,10.0,,,,,10.0,29.0,,,15.0,25.0,71.0,93.0,97.0,149.0,4.0,8.0,36.0,42.0,47.0,64.0,0.0,6.0,18.0,45.0,82.0,110.0,19.0,47.0,30.0,43.0,,,0.0,1.0
214,408.0,248.0,62.0,30.0,0.0,3.0,0.0,1.0,51.0,36.0,,,49.0,32.0,199.0,117.0,296.0,171.0,112.0,77.0,41.0,42.0,289.0,127.0,28.0,27.0,47.0,46.0,344.0,183.0,64.0,65.0,99.0,72.0,16.0,15.0,11.0,16.0
9,62.0,60.0,11.0,12.0,,,,,1.0,3.0,,,2.0,2.0,42.0,37.0,27.0,29.0,35.0,31.0,8.0,10.0,48.0,38.0,0.0,6.0,0.0,2.0,62.0,54.0,0.0,6.0,13.0,16.0,5.0,9.0,1.0,2.0
